"","x"
"1",-0.29683283302485
"2",-0.53742335629337
"3",2.38833123807255
"4",1.12311818682311
"5",-0.306044343413088
"6",1.87438494693474
"7",0.0719879289048142
"8",-3.56268329805958
"9",-6.75699969470835
"10",-1.86426679122165
"11",7.54314996671496
"12",2.26771695612013
"13",0.755671987119081
"14",-0.885500509752307
"15",-2.4845532600346
"16",-2.84632605327464
"17",0.483206124494784
"18",-1.78546591105866
"19",-3.59443992584985
"20",0.0927984143698655
"21",-0.432847143184961
"22",-2.16077334910477
"23",2.34103240956645
"24",-0.68392346250596
"25",-0.793965053160662
"26",-2.48612639857078
"27",1.2110369633095
"28",-0.864872477258709
"29",-0.895951067442929
"30",-1.65874299247053
"31",0.207949817430826
"32",-2.06604971487034
"33",-3.20575708461892
"34",-1.58016492683368
"35",-1.43060018215312
"36",-1.7152941448404
"37",-0.186863564383592
"38",-2.25768149514891
"39",0.207494085901133
"40",-3.94667477863698
"41",-2.99506855796298
"42",-2.96339218810516
"43",-0.784034605434143
"44",-0.780769337113693
"45",1.49791646172101
"46",1.09155085542254
"47",-2.32579951978281
"48",-0.952703485403877
"49",-2.09087661972781
"50",0.117629229834824
"51",-1.86945949699709
"52",-1.79466093267519
"53",-0.780681622250904
"54",-0.772836012704774
"55",-1.30375600574216
"56",-2.04795710487586
"57",-1.45954780563716
"58",1.02183942032999
"59",-1.22453799296187
"60",0.706285055889078
"61",-7.37403201304057
"62",-6.34265118332549
"63",0.380265426777427
"64",-2.43494962355839
"65",-1.31402357048969
"66",2.0408980010829
"67",0.345425724108435
"68",-0.168858243810769
"69",-2.67088723870531
"70",-2.21151144714254
"71",-9.85459622063582
"72",-5.99180154805743
"73",5.48911819472878
"74",-3.31153342854119
"75",-9.84366138467882
"76",-0.963647918196002
"77",-0.527465169691445
"78",-5.57712962755736
"79",-4.32723893189003
"80",-2.4689063969786
"81",0.765124006137325
"82",1.24624914265912
"83",-0.137124257699507
"84",-2.48112663840405
"85",0.264928146290128
"86",-8.72101828416343
"87",-2.56557126893072
"88",-1.45216711715554
"89",5.53420131018869
"90",-1.48113081443574
"91",0.850163413520925
"92",0.764196606016959
"93",-9.89058183459238
"94",2.39544108981248
"95",-5.74146109680109
"96",-0.704380092858031
"97",4.67516324099704
"98",4.63830488762162
"99",-1.19862479366898
"100",2.94896129761574
"101",3.84504911219683
"102",-2.68183340838774
"103",-0.687791032243575
"104",-3.64914680969828
"105",-3.08169916203673
"106",-1.54776562024447
"107",0.00962576057242243
"108",-0.425060157221346
"109",-4.35829245252443
"110",0.374082599956675
"111",2.97701050074114
"112",-1.86780186309179
"113",-1.14786907587487
"114",-1.15721222016086
"115",-4.42392151114709
"116",2.33323168739166
"117",-1.83853051881435
"118",-0.920298216720292
"119",-9.17178577423815
"120",1.67553625774001
"121",-1.27419015789459
"122",-2.35270667768514
"123",0.891053143386549
"124",-0.0859612765349949
"125",-2.29814655701622
"126",-0.404730195011016
"127",-10.1594579466423
"128",-0.776367287744867
"129",-3.39836597768292
"130",0.830214060817051
"131",-2.26172655437982
"132",-1.03483564429238
"133",4.00566021770632
"134",-0.432541931989662
"135",-5.21763431977658
"136",-8.09028297942967
"137",1.07858477489484
"138",-2.93980866416979
"139",-0.221739531523445
"140",-1.83772597170368
"141",0.557526375806692
"142",-0.790091201604245
"143",-1.46962057037687
"144",-1.0838938355465
"145",0.496275862061856
"146",0.176898756679672
"147",-0.411583260928859
"148",-4.47851483042872
"149",0.914378076113215
"150",-2.34845707350361
"151",-4.26003123540788
"152",-3.70491164033373
"153",0.0804534210533115
"154",-0.95684359552998
"155",-0.192831884844549
"156",-1.65775854610743
"157",3.2110682091065
