"","x"
"1",2.09024879147656
"2",-6.88814880312496
"3",5.30451628440296
"4",-3.6681065145877
"5",5.82519376499004
"6",5.82519376499004
"7",-1.36548607621211
"8",-10.9416157706785
"9",-10.9416157706785
"10",-2.47067502679022
"11",5.82519376499004
"12",3.2315328314636
"13",1.64522904007179
"14",-2.47067502679022
"15",-10.9416157706785
"16",-6.33301185182921
"17",3.2315328314636
"18",0.540831767060775
"19",-6.33301185182921
"20",1.46516935470372
"21",3.2315328314636
"22",-0.716279280383926
"23",1.46516935470372
"24",-1.36548607621211
"25",-0.716279280383926
"26",5.30451628440296
"27",1.64522904007179
"28",-2.47067502679022
"29",0
"30",-6.33301185182921
"31",1.46516935470372
"32",0
"33",-2.95113204210238
"34",-0.716279280383926
"35",-1.36548607621211
"36",-0.716279280383926
"37",-1.36548607621211
"38",-1.36548607621211
"39",1.46516935470372
"40",-2.38688607723642
"41",-2.95113204210238
"42",-2.95113204210238
"43",-6.88814880312496
"44",-3.6681065145877
"45",6.75843626260236
"46",1.64522904007179
"47",-3.58246871905927
"48",6.75843626260236
"49",-6.33301185182921
"50",-1.36548607621211
"51",-6.33301185182921
"52",1.64522904007179
"53",-1.36548607621211
"54",3.2315328314636
"55",3.2315328314636
"56",-2.95113204210238
"57",0.540831767060775
"58",-1.36548607621211
"59",-3.6681065145877
"60",-1.36548607621211
"61",-10.9416157706785
"62",-6.88814880312496
"63",0.540831767060775
"64",-2.47067502679022
"65",-6.88814880312496
"66",6.75843626260236
"67",1.64522904007179
"68",3.2315328314636
"69",-6.88814880312496
"70",-6.33301185182921
"71",-10.9416157706785
"72",-6.88814880312496
"73",5.82519376499004
"74",-3.6681065145877
"75",-10.9416157706785
"76",-0.716279280383926
"77",-2.47067502679022
"78",-6.33301185182921
"79",-1.36548607621211
"80",-3.58246871905927
"81",0.540831767060775
"82",1.46516935470372
"83",3.2315328314636
"84",-3.58246871905927
"85",-1.36548607621211
"86",-10.9416157706785
"87",-6.88814880312496
"88",3.2315328314636
"89",11.8520603149804
"90",-1.36548607621211
"91",1.46516935470372
"92",1.64522904007179
"93",-10.9416157706785
"94",2.5905917502524
"95",-6.33301185182921
"96",-0.716279280383926
"97",5.30451628440296
"98",5.30451628440296
"99",-6.33301185182921
"100",6.75843626260236
"101",5.82519376499004
"102",2.5905917502524
"103",-0.716279280383926
"104",-3.58246871905927
"105",-3.58246871905927
"106",3.2315328314636
"107",5.82519376499004
"108",1.46516935470372
"109",-6.88814880312496
"110",-3.58246871905927
"111",3.2315328314636
"112",-3.6681065145877
"113",3.2315328314636
"114",5.82519376499004
"115",-6.88814880312496
"116",1.64522904007179
"117",-10.9416157706785
"118",0.540831767060775
