"","x"
"1",-0.973090356382603
"2",-2.23986512040877
"3",5.82198087537018
"4",5.08525522862733
"5",0.784011566379875
"6",-7.52941997588904
"7",-7.22000953183796
"8",-2.53782091395409
"9",0.59830291731765
"10",5.64743657057908
"11",-6.86620837272234
"12",8.54473861115458
"13",-6.52875985042901
"14",4.45816675518852
"15",1.80045650729139
"16",4.05746903923911
"17",0.810698673784634
"18",2.49020483548036
"19",-0.00409707891896078
"20",-1.38523153541517
"21",1.26266997885961
"22",4.4208173977757
"23",-7.65101072653698
"24",-6.73871228658502
"25",5.86153916332491
"26",3.83906756453349
"27",-8.47444922149996
"28",2.72613689231551
"29",0.0799327679931528
"30",1.89048224696113
"31",-6.71392118966177
"32",2.5728407321633
"33",3.43160699876311
"34",0.94357283773842
"35",-4.70043395821205
"36",7.25638085423173
"37",-1.42103167123544
"38",-5.99469525914428
"39",-9.50664231766981
"40",-3.30712051424445
"41",-0.221059349907493
"42",2.53169536921282
"43",-3.35022102873105
"44",-5.4815308838763
"45",-0.841527554901095
"46",-9.88572329229968
"47",3.64936534855173
"48",1.77201648085583
"49",-5.70669495875665
"50",2.44957154337973
"51",4.30126428036831
"52",-1.08790960377825
"53",-5.76614853974745
"54",0.99443490133825
"55",3.05672693209319
"56",3.19606773227646
"57",4.88603757682948
"58",-10.1847708608309
"59",2.93959461343619
"60",-8.36627046931457
"61",0.324487727874596
"62",-1.02173984269371
"63",7.7329258090152
"64",7.47814198465182
"65",-6.53828851778748
"66",0.0639319593724702
"67",1.27752705019767
"68",-0.374523316394634
"69",4.5562078827945
"70",5.82701158062569
"71",1.76194500561414
"72",-0.970195733901618
"73",-7.7168265566678
"74",3.36632652734467
"75",1.72362712538601
"76",8.98984342543736
"77",-6.39834662194198
"78",4.42776835969002
"79",-0.58473712760319
"80",3.81270243616098
"81",-7.08756191563711
"82",-10.6827615760074
"83",5.07941676911233
"84",9.19753220794759
"85",-8.45817023738638
"86",2.60077462226198
"87",-6.00736859466978
"88",7.27889728854521
"89",-4.13963967339248
"90",-7.38326966682172
"91",-10.2999737377857
"92",-10.5514848566696
"93",1.9126678721711
"94",1.67281894978008
"95",5.08672338476772
