"","x"
"1",1.72200922371837
"2",-2.4327980491403
"3",-0.568307590986859
"4",2.85130402692936
"5",-6.31581119894842
"6",4.80011386378256
"7",10.2160539159562
"8",-3.84839888930859
"9",-3.84839888930859
"10",-6.15532302697759
"11",3.17600891489267
"12",-3.60288447626961
"13",1.72200922371837
"14",-6.15532302697759
"15",-3.84839888930859
"16",2.85130402692936
"17",-3.60288447626961
"18",-2.4327980491403
"19",-8.17262424893674
"20",-2.4327980491403
"21",-3.60288447626961
"22",-8.17262424893674
"23",3.22529384919204
"24",10.2160539159562
"25",-8.17262424893674
"26",-2.4327980491403
"27",3.22529384919204
"28",-3.60288447626961
"29",-2.4327980491403
"30",-3.60288447626961
"31",3.22529384919204
"32",-6.31581119894842
"33",-7.234177271281
"34",-7.234177271281
"35",10.2160539159562
"36",-8.17262424893674
"37",10.2160539159562
"38",10.2160539159562
"39",10.2160539159562
"40",-2.4327980491403
"41",-6.31581119894842
"42",-6.31581119894842
"43",-2.4327980491403
"44",10.2160539159562
"45",5.93976465681047
"46",3.22529384919204
"47",-7.234177271281
"48",2.85130402692936
"49",-2.4327980491403
"50",-0.568307590986859
"51",-8.17262424893674
"52",-2.4327980491403
"53",3.22529384919204
"54",-3.60288447626961
"55",-3.84839888930859
"56",-1.7204528023832
"57",-3.60288447626961
"58",9.13199293965523
"59",-3.60288447626961
"60",10.2160539159562
"61",-2.4327980491403
"62",-2.4327980491403
"63",-1.15537480872371
"64",-6.15532302697759
"65",2.20994608791971
"66",5.93976465681047
"67",-3.60288447626961
"68",-8.17262424893674
"69",-2.4327980491403
"70",-3.60288447626961
"71",-3.84839888930859
"72",-2.4327980491403
"73",4.80011386378256
"74",2.85130402692936
"75",-3.84839888930859
"76",-8.17262424893674
"77",9.13199293965523
"78",-1.7204528023832
"79",-6.31581119894842
"80",-8.17262424893674
"81",1.72200922371837
"82",3.22529384919204
"83",-3.60288447626961
"84",-7.234177271281
"85",3.22529384919204
"86",-3.84839888930859
"87",-2.4327980491403
"88",-7.234177271281
"89",5.93976465681047
"90",10.2160539159562
"91",9.13199293965523
"92",3.22529384919204
"93",-3.84839888930859
"94",-2.06633511590055
"95",-1.7204528023832
"96",-8.17262424893674
"97",-0.568307590986859
"98",-0.568307590986859
"99",-2.06633511590055
"100",5.93976465681047
"101",4.80011386378256
"102",-3.84839888930859
"103",-8.17262424893674
"104",2.85130402692936
"105",-7.234177271281
"106",-8.17262424893674
"107",3.22529384919204
"108",10.2160539159562
"109",-2.4327980491403
"110",-3.60288447626961
"111",-3.60288447626961
"112",10.2160539159562
"113",-2.4327980491403
"114",-2.06633511590055
"115",-2.4327980491403
"116",3.22529384919204
"117",-8.17262424893674
"118",-2.06633511590055
"119",-3.84839888930859
"120",3.22529384919204
"121",-3.60288447626961
"122",10.2160539159562
"123",9.13199293965523
"124",-2.4327980491403
"125",2.20994608791971
"126",9.13199293965523
"127",-3.84839888930859
"128",-8.17262424893674
"129",2.85130402692936
"130",3.22529384919204
"131",-8.17262424893674
"132",-8.17262424893674
"133",-0.568307590986859
"134",-8.17262424893674
"135",-2.4327980491403
"136",-3.84839888930859
"137",-3.60288447626961
"138",2.85130402692936
"139",-8.17262424893674
"140",-8.17262424893674
"141",10.2160539159562
"142",10.2160539159562
"143",4.80011386378256
"144",-0.568307590986859
"145",-1.15537480872371
"146",2.85130402692936
